satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary,cluster
0.38,0.53,2,157,3,0,1,0,7,1,0
0.72,0.87,5,223,5,0,1,0,7,1,0
0.37,0.52,2,159,3,0,1,0,7,1,0
0.41,0.5,2,153,3,0,1,0,7,1,0
0.92,0.85,5,259,5,0,1,0,7,1,0
0.89,1.0,5,224,5,0,1,0,7,1,0
0.42,0.53,2,142,3,0,1,0,7,1,0
0.45,0.54,2,135,3,0,1,0,7,1,0
0.84,0.92,4,234,5,0,1,0,7,1,0
0.41,0.55,2,148,3,0,1,0,7,1,0
0.36,0.56,2,137,3,0,1,0,7,1,0
0.38,0.54,2,143,3,0,1,0,7,1,0
0.45,0.47,2,160,3,0,1,0,7,1,0
0.78,0.99,4,255,6,0,1,0,7,1,0
0.45,0.51,2,160,3,1,1,1,7,1,0
0.76,0.89,5,262,5,0,1,0,7,1,0
0.38,0.55,2,147,3,0,1,0,7,1,0
0.46,0.57,2,139,3,0,1,0,7,1,0
0.4,0.53,2,158,3,0,1,0,7,1,0
0.89,0.92,5,242,5,0,1,0,7,1,0
0.82,0.87,4,239,5,0,1,0,7,1,0
0.4,0.49,2,135,3,0,1,0,7,1,0
0.41,0.46,2,128,3,0,1,0,2,1,0
0.38,0.5,2,132,3,0,1,0,2,1,0
0.45,0.57,2,134,3,0,1,0,3,1,0
0.4,0.51,2,145,3,0,1,0,3,1,0
0.45,0.55,2,140,3,0,1,0,3,1,0
0.84,0.87,4,246,6,0,1,0,3,1,0
0.38,0.46,2,137,3,0,1,0,9,1,0
0.45,0.5,2,126,3,0,1,0,9,1,0
0.41,0.54,2,152,3,0,1,0,9,1,0
0.87,0.88,5,269,5,0,1,0,9,1,0
0.45,0.48,2,158,3,0,1,0,9,1,0
0.4,0.46,2,127,3,0,1,0,9,1,0
0.84,0.74,3,182,4,0,1,0,9,1,0
0.4,0.55,2,147,3,0,1,0,8,1,0
0.57,0.7,3,273,6,0,1,0,8,1,0
0.4,0.54,2,148,3,0,1,0,8,1,0
0.43,0.47,2,147,3,0,1,0,8,1,0
0.44,0.55,2,135,3,0,1,0,8,1,0
0.38,0.55,2,134,3,0,1,0,8,1,0
0.39,0.54,2,132,3,0,1,0,8,1,0
0.37,0.46,2,140,3,0,1,0,8,1,0
0.38,0.54,2,128,3,0,1,0,9,1,0
0.85,1.0,4,225,5,0,1,0,9,1,0
0.43,0.56,2,157,3,0,1,0,7,1,0
0.39,0.56,2,142,3,0,1,0,2,1,0
0.45,0.54,2,140,3,0,1,0,8,1,0
0.38,0.49,2,151,3,0,1,0,9,1,0
0.79,0.59,4,139,3,0,1,1,4,1,0
0.84,0.85,4,249,6,0,1,0,5,1,0
0.44,0.45,2,132,3,0,1,0,7,1,0
0.37,0.57,2,130,3,0,1,0,7,1,0
0.4,0.5,2,130,3,0,1,0,7,1,0
0.89,1.0,5,246,5,0,1,0,7,1,0
0.42,0.48,2,143,3,0,1,0,7,1,0
0.46,0.55,2,129,3,0,1,0,7,1,0
0.37,0.51,2,155,3,0,1,0,7,1,0
0.43,0.52,2,160,3,0,1,0,9,1,0
0.37,0.57,2,133,3,0,1,0,9,1,0
0.4,0.46,2,132,3,0,1,0,9,1,0
0.4,0.46,2,135,3,0,1,0,9,1,0
0.75,1.0,4,216,6,0,1,0,9,1,0
0.46,0.49,2,138,3,0,1,0,8,1,0
0.38,0.49,2,132,3,0,1,0,8,1,0
0.7,0.89,3,183,5,0,1,0,8,1,0
0.37,0.45,2,151,3,0,1,0,8,1,0
0.38,0.57,2,140,3,0,1,0,8,1,0
0.9,1.0,5,221,5,0,1,0,8,1,0
0.44,0.51,2,138,3,0,1,0,8,1,0
0.36,0.5,2,132,3,0,1,0,9,1,0
0.42,0.48,2,129,3,0,1,0,4,1,0
0.74,1.0,4,249,5,0,1,0,0,1,0
0.73,0.87,5,257,5,0,1,0,0,1,0
0.45,0.53,2,155,3,0,1,0,0,1,0
0.37,0.47,2,152,3,0,1,0,6,1,0
0.84,0.99,4,267,5,0,1,0,6,1,0
0.41,0.46,2,151,3,0,1,0,6,1,0
0.76,0.92,4,239,5,0,1,0,6,1,0
0.84,0.88,4,263,5,1,1,0,5,1,0
0.39,0.5,2,147,3,0,1,0,5,1,0
0.45,0.56,2,154,3,0,1,0,5,1,0
0.37,0.52,2,143,3,0,1,0,5,1,0
0.4,0.52,2,155,3,0,1,0,5,1,0
0.39,0.48,2,160,3,0,1,0,7,1,0
0.83,1.0,5,240,5,0,1,0,8,1,0
0.39,0.5,2,136,3,0,1,0,4,1,0
0.45,0.45,2,132,3,0,1,0,5,1,0
0.9,0.98,5,243,6,0,1,0,5,1,0
0.45,0.51,2,147,3,0,1,0,7,1,0
0.79,0.89,5,239,5,0,1,0,7,1,0
0.9,0.99,5,260,5,0,1,0,7,1,0
0.43,0.55,2,129,3,0,1,0,7,1,0
0.32,0.5,2,135,5,0,1,0,7,1,0
0.45,0.57,2,158,3,0,1,0,7,1,0
0.81,0.99,4,259,5,0,1,0,7,1,0
0.41,0.46,2,160,3,0,1,1,7,1,0
0.7,0.53,2,274,4,0,1,0,7,1,0
0.54,0.74,4,164,2,0,1,0,7,1,0
0.41,0.48,2,148,3,0,1,0,7,1,0
0.77,0.94,5,226,6,0,1,0,8,1,0
0.9,0.82,5,259,5,0,1,0,8,1,0
0.39,0.5,2,135,3,0,1,0,8,1,0
0.76,1.0,5,219,5,0,1,0,8,1,0
0.87,0.9,5,254,6,0,1,0,8,1,0
0.38,0.5,2,153,3,0,1,0,8,1,0
0.77,0.99,5,228,5,0,1,0,8,1,0
0.78,0.87,4,228,5,0,1,0,8,1,0
0.44,0.5,2,128,3,0,1,0,8,1,0
0.38,0.52,2,153,3,0,1,0,8,1,0
0.43,0.46,2,156,3,0,1,0,9,1,0
0.39,0.5,4,294,3,0,1,0,9,1,0
0.88,1.0,5,219,5,0,1,0,9,1,0
0.45,0.46,2,153,3,0,1,0,4,1,0
0.4,0.53,2,151,3,0,1,0,0,1,0
0.36,0.51,2,155,3,0,1,0,0,1,0
0.36,0.48,2,158,3,0,1,0,0,1,0
0.9,0.98,5,245,5,0,1,0,0,1,0
0.43,0.53,2,131,3,0,1,0,0,1,0
0.89,0.87,5,225,5,0,1,0,6,1,0
0.37,0.5,2,135,3,0,1,0,6,1,0
0.37,0.51,2,153,3,0,1,0,6,1,0
0.87,0.9,5,252,5,0,1,0,0,1,0
0.4,0.56,2,149,3,0,1,0,2,1,0
0.9,0.97,4,258,5,0,1,0,2,1,0
0.37,0.46,2,158,3,0,1,0,3,1,0
0.44,0.54,2,149,3,0,1,0,3,1,0
0.85,0.95,5,236,5,0,1,0,3,1,0
0.78,0.98,5,239,6,0,1,0,5,1,0
0.42,0.47,2,159,3,0,1,0,5,1,0
0.92,0.99,5,255,6,0,1,0,7,1,0
0.42,0.56,2,134,3,0,1,0,8,1,0
0.48,0.57,4,270,4,0,1,0,9,1,0
0.83,0.85,4,255,5,0,1,0,4,1,0
0.4,0.53,2,151,3,0,1,0,5,1,0
0.43,0.45,2,135,3,0,1,0,5,1,0
0.43,0.53,2,146,3,0,1,0,5,1,0
0.37,0.46,2,156,3,0,1,0,7,1,0
0.38,0.53,2,156,3,0,1,0,7,1,0
0.4,0.5,2,128,3,0,1,0,7,1,0
0.89,0.86,5,275,5,0,1,0,7,1,0
0.45,0.46,2,155,3,0,1,0,7,1,0
0.37,0.48,2,159,3,0,1,0,7,1,0
0.46,0.49,2,148,3,0,1,0,7,1,0
0.87,0.91,4,228,5,0,1,0,7,1,0
0.79,0.87,5,261,5,0,1,0,7,1,0
0.79,0.92,5,254,6,0,1,0,7,1,0
0.87,0.98,4,248,5,0,1,0,7,1,0
0.6,0.92,2,258,5,0,1,0,7,1,0
0.38,0.56,2,156,3,0,1,0,9,1,0
0.81,0.95,5,238,6,0,1,0,9,1,0
0.74,0.89,5,229,6,0,1,0,8,1,0
0.82,0.81,4,233,4,1,1,0,8,1,0
0.27,0.56,3,301,3,0,1,0,8,1,0
0.83,0.92,5,267,6,0,1,0,8,1,0
0.38,0.47,2,144,3,0,1,0,8,1,0
0.4,0.56,2,148,3,0,1,0,8,1,0
0.82,0.91,5,232,5,0,1,0,9,1,0
0.36,0.48,2,137,3,0,1,0,9,1,0
0.4,0.46,2,128,3,0,1,0,4,1,0
0.87,0.84,5,231,5,0,1,0,0,1,0
0.41,0.49,2,146,3,0,1,0,0,1,0
0.4,0.54,2,139,3,0,1,0,5,1,0
0.41,0.49,2,130,3,0,1,0,5,1,0
0.73,0.86,4,245,6,0,1,0,7,1,0
0.43,0.47,2,135,3,0,1,0,7,1,0
0.37,0.46,2,153,3,0,1,0,7,1,0
0.4,0.46,2,130,3,0,1,0,7,1,0
0.41,0.54,2,153,3,1,1,0,7,1,0
0.82,0.84,5,244,5,0,1,0,7,1,0
0.61,0.47,2,253,3,0,1,0,7,1,0
0.37,0.45,2,131,3,0,1,0,7,1,0
0.41,0.52,2,135,3,0,1,0,7,1,0
0.37,0.52,2,157,3,0,1,0,7,1,0
0.88,0.99,5,262,6,0,1,0,7,1,0
0.44,0.48,2,148,3,0,1,0,7,1,0
0.38,0.57,2,140,3,0,1,0,7,1,0
0.81,1.0,4,253,5,0,1,0,9,1,0
0.48,0.93,3,219,6,0,1,0,9,1,0
0.91,0.91,4,262,6,0,1,0,8,1,0
0.43,0.57,2,135,3,0,1,0,8,1,0
0.41,0.57,2,136,3,0,1,0,8,1,0
0.41,0.55,2,154,3,0,1,0,8,1,0
0.37,0.54,2,149,3,0,1,0,8,1,0
0.76,0.9,4,263,5,0,1,0,8,1,0
0.41,0.54,2,145,3,0,1,0,8,1,0
0.72,0.96,5,267,5,0,1,0,9,1,0
0.4,0.5,2,141,3,1,1,0,9,1,0
0.91,0.87,4,235,5,0,1,0,9,1,0
0.4,0.56,2,131,3,0,1,0,0,1,0
0.82,0.86,5,243,5,0,1,0,0,1,0
0.37,0.45,2,142,3,0,1,0,0,1,0
0.36,0.51,2,135,3,0,1,0,0,1,0
0.75,0.9,5,256,5,0,1,0,8,1,0
0.78,1.0,4,253,5,0,1,0,5,1,0
0.45,0.55,2,148,3,0,1,0,7,1,0
0.84,1.0,4,261,5,0,1,0,7,1,0
0.42,0.56,2,133,3,0,1,0,7,1,0
0.45,0.46,2,128,3,0,1,0,7,1,0
0.46,0.57,2,139,3,0,1,0,7,1,0
0.87,0.83,4,265,6,0,1,0,7,1,0
0.91,1.0,5,251,6,0,1,0,7,1,0
